name,aliases,primary,secondary,logo
Golda Och,"GOA,Golda Och Academy",#034CB2,#F3EAD8,golda-och.svg
Glassboro,GHS,#900030,#F0C030,glassboro.png
North Star Academy,NSA,#002060,#A090B0,north-star-academy.png
Paterson Eastside,"EHS,Eastside",#E07010,#D0D0E0,paterson-eastside.png
Calvary Academy,CA,#808080,#302080,calvary-academy.png
Pioneer Academy,PA,#1580A5,#F3EAD8,pioneer-academy.svg
Belvidere,BHS,#300000,#900000,belvidere.png
Abundant Life,"ALA,Abundant Life Academy",#808090,#B0B0B0,abundant-life.png
Trinity Christian,TCHS,#000040,#F0B020,trinity-christian.png
Pennsville,"PMHS,Pennsville Memorial",#F0F000,#0000C0,pennsville.png
Wilberforce,WHS,#002050,#305070,wilberforce.png
Veritas Christian,"VCA,Veritas Christian Academy",#003030,#C09060,veritas-christian.png
Willingboro,WHS,#E02020,#E0E0E0,willingboro.png
Woodbury,WHS,#001040,#E0E0E0,woodbury.png
Saddle River Day,SRDHS,#034CB2,#CC0022,saddle-river-day.svg
KIPP Cooper Norcross Academy,"KIPPCN,KIPP Cooper Norcross",#0E4D5C,#F4C542,kipp-cooper-norcross-academy.svg
Medford Tech,MTHS,#101000,#403010,medford-tech.png
Woodbridge Academy,"WHS,Woodbridge",#222222,#CC0022,woodbridge-academy.svg
Newark Global Studies,"NA,Newark Academy",#809080,#D01040,newark-global-studies.png
Bogota,BHS,#200060,#F0F000,bogota.png
Sussex Tech,"THS,Tech",#505050,#E0E0E0,sussex-tech.png
Trenton Catholic,"TCA,Trenton Catholic Academy",#202060,#F0C090,trenton-catholic.png
Oakcrest,OHS,#001040,#606060,oakcrest.png
Somerset Tech,STHS,#101010,#F0C000,somerset-tech.png
Lower Cape May,LCMHS,#E0A000,#202010,lower-cape-may.png
Marion P. Thomas Charter,,#7A1F1F,#F2E6C9,marion-p-thomas-charter.svg
East Brunswick Tech,"EBHS,East Brunswick",#006030,#003000,east-brunswick-tech.png
St. Joseph (Hamm.),"SJHS,St. Joseph",#C0C0C0,#101010,st-joseph-hamm.png
Solid Rock Christian,"SRCS,Solid Rock Christian School",#400020,#D0D0D0,solid-rock-christian.png
Salem Tech,"THS,Tech",#505050,#E0E0E0,salem-tech.png
Gloucester,"GCTHS,Gloucester County Tech",#003050,#A0B0C0,gloucester.png
Hudson School,"HCHS,Hudson Catholic",#C09060,#300030,hudson-school.png
Edison Academy,"EHS,Edison",#CC0022,#C8880A,edison-academy.svg
Clayton,CHS,#E0D040,#102070,clayton.png
Pemberton,PHS,#205020,#C0D0C0,pemberton.png
Central Jersey College Charter,"CRHS,Central Regional",#F0C020,#500000,central-jersey-college-charter.png
Holy Spirit,HSHS,#001030,#E0E0E0,holy-spirit.png
Weequahic,WHS,#907050,#403030,weequahic.png
Thomas Edison Energy Charter,"EHS,Edison",#CC0022,#C8880A,thomas-edison-energy-charter.svg
Burlington City,BCHS,#034CB2,#F3EAD8,burlington-city.svg
STEM Civics,,#234E70,#A7C7E7,stem-civics.svg
Perth Amboy Tech,"PAHS,Perth Amboy",#D0D0D0,#101010,perth-amboy-tech.png
Buena,BHS,#1040A0,#F0C000,buena.png
Paulsboro,PHS,#601010,#E0E0E0,paulsboro.png
Passaic Charter,"PHS,Passaic",#C01030,#001060,passaic-charter.png
Cumberland Christian,CCHS,#303060,#9090C0,cumberland-christian.png
Snyder,SHS,#F03030,#101010,snyder.png
Cape May Tech,"THS,Tech",#505050,#E0E0E0,cape-may-tech.png
Gloucester Catholic,GCHS,#600010,#A06020,gloucester-catholic.png
Warren Tech,"THS,Tech",#505050,#E0E0E0,warren-tech.png
University,UHS,#201020,#F3EAD8,university.png
Eagle Academy,EA,#0E4D5C,#F4C542,eagle-academy.svg
Salem,SHS,#0000E0,#7070E0,salem.png
Mastery Camden,"MHS,Mastery",#3778B4,#F3EAD8,mastery-camden.svg
American Christian,"ACS,American Christian School",#002060,#C0C0F0,american-christian.png
Marist,Royal Knights,#0070C0,#F0D060,marist.png
